District,Area_sqm,Tree_sqm,GreenRate_pct
1,10088376.29045599,2179225.954665212,21.60135478616958
2,13150372.169835402,2778726.3645219966,21.130400939495058
3,5375721.378250711,495857.39994965284,9.224015998221388
4,260550648.15267128,1222552.8031309908,0.4692188684998505
5,4602154.773509424,528030.1933047193,11.473542705345913
6,9189228.930135097,722004.3025581955,7.857071665615592
7,20934406.146211155,3976300.661744718,18.994093426740815
8,9351740.800956452,1626287.719307258,17.390213799990363
9,8558111.504025616,925848.019376607,10.818368268993703
10,19439798.462388314,1661333.4273053585,8.546042442362092
11,8797882.413086245,658420.2931515895,7.48384966105292
