Commodity Info,Consumption Units,Department,Fiscal Year,Quarter,Consumption,Emissions mtCO2e
RD100,Gallons,Public Works,2022,Q1,1,0
RD100,Gallons,Public Works,2022,Q1,2,0
RD100,Gallons,Public Works,2022,Q1,2,0
RD100,Gallons,Public Works,2022,Q1,3,0
RD100,Gallons,Public Works,2022,Q1,4,0
RD100,Gallons,Public Works,2022,Q1,6,0
RD100,Gallons,Public Works,2022,Q1,7,0
RD100,Gallons,Public Works,2022,Q1,8,0
RD100,Gallons,Public Works,2022,Q1,9,0
RD100,Gallons,Public Works,2022,Q1,9,0
RD100,Gallons,Public Works,2022,Q1,10,0
RD100,Gallons,Public Works,2022,Q1,10,0
RD100,Gallons,Public Works,2022,Q1,12,0
RD100,Gallons,Public Works,2022,Q1,12,0
RD100,Gallons,Public Works,2022,Q1,13,0
RD100,Gallons,Public Works,2022,Q1,15,0
RD100,Gallons,Public Works,2022,Q1,16,0.01
RD100,Gallons,Public Works,2022,Q1,18,0.01
RD100,Gallons,Public Works,2022,Q1,19,0.01
RD100,Gallons,Public Works,2022,Q1,20,0.01
RD100,Gallons,Public Works,2022,Q1,20,0.01
RD100,Gallons,Public Works,2022,Q1,21,0.01
RD100,Gallons,Public Works,2022,Q1,22,0.01
RD100,Gallons,Public Works,2022,Q1,22,0.01
RD100,Gallons,Public Works,2022,Q1,23,0.01
RD100,Gallons,Public Works,2022,Q1,23,0.01
RD100,Gallons,Public Works,2022,Q1,24,0.01
RD100,Gallons,Public Works,2022,Q1,26,0.01
RD100,Gallons,Public Works,2022,Q1,26,0.01
RD100,Gallons,Public Works,2022,Q1,26,0.01
RD100,Gallons,Public Works,2022,Q1,28,0.01
RD100,Gallons,Public Works,2022,Q1,30,0.01
RD100,Gallons,Public Works,2022,Q1,32,0.01
RD100,Gallons,Public Works,2022,Q1,34,0.01
RD100,Gallons,Public Works,2022,Q1,37,0.01
RD100,Gallons,Public Works,2022,Q1,38,0.01
RD100,Gallons,Public Works,2022,Q1,38,0.01
RD100,Gallons,Public Works,2022,Q1,38,0.01
RD100,Gallons,Public Works,2022,Q1,39,0.01
RD100,Gallons,Public Works,2022,Q1,39,0.01
RD100,Gallons,Public Works,2022,Q1,39,0.01
RD100,Gallons,Public Works,2022,Q1,42,0.01
RD100,Gallons,Public Works,2022,Q1,42,0.01
RD100,Gallons,Public Works,2022,Q1,43,0.01
RD100,Gallons,Public Works,2022,Q1,46,0.02
RD100,Gallons,Public Works,2022,Q1,48,0.02
RD100,Gallons,Public Works,2022,Q1,48,0.02
RD100,Gallons,Public Works,2022,Q1,49,0.02
