Date,AQI,Temp_C
2020-01-01,49,11.7
2020-01-02,51,12.0
2020-01-03,64,11.1
2020-01-04,38,12.5
2020-01-05,32,11.1
2020-01-06,40,10.3
2020-01-07,37,9.9
2020-01-08,33,11.7
2020-01-09,32,11.5
2020-01-10,42,9.2
2020-01-11,33,11.2
2020-01-12,34,9.7
2020-01-13,39,10.6
2020-01-14,34,11.3
2020-01-15,34,8.3
2020-01-16,33,9.9
2020-01-17,39,8.1
2020-01-18,28,9.6
2020-01-19,40,9.9
2020-01-20,55,10.1
2020-01-21,28,12.3
2020-01-22,40,12.2
2020-01-23,53,11.7
2020-01-24,41,12.1
2020-01-25,43,13.3
2020-01-26,36,14.6
2020-01-27,43,12.1
2020-01-28,44,12.6
2020-01-29,54,11.8
2020-01-30,45,12.9
2020-01-31,60,11.9
2020-02-01,71,12.8
2020-02-02,36,12.1
2020-02-03,32,8.4
2020-02-04,34,10.7
2020-02-05,48,9.1
2020-02-06,54,10.6
2020-02-07,57,11.2
2020-02-08,49,11.5
2020-02-09,33,12.4
2020-02-10,35,14.4
2020-02-11,41,14.8
2020-02-12,59,13.6
2020-02-13,42,11.1
2020-02-14,47,10.9
2020-02-15,50,11.4
2020-02-16,36,12.4
2020-02-17,51,12.0
2020-02-18,45,13.8
2020-02-19,52,11.2
2020-02-20,60,12.2
2020-02-21,57,13.9
2020-02-22,58,14.6
2020-02-23,37,11.6
2020-02-24,51,11.9
2020-02-25,55,13.6
2020-02-26,58,15.1
2020-02-27,63,15.4
2020-02-28,61,15.9
2020-02-29,46,11.6
2020-03-01,35,10.4
2020-03-02,35,15.0
2020-03-03,57,16.3
2020-03-04,59,14.6
2020-03-05,51,14.0
2020-03-06,33,12.9
2020-03-07,36,11.0
2020-03-08,36,10.7
2020-03-09,35,12.5
2020-03-10,35,14.9
2020-03-11,33,16.2
2020-03-12,52,13.0
2020-03-13,58,13.1
2020-03-14,39,11.3
2020-03-15,41,10.9
2020-03-16,38,9.3
2020-03-17,35,9.3
2020-03-18,36,10.2
2020-03-19,37,11.4
2020-03-20,36,11.8
2020-03-21,39,12.8
2020-03-22,35,13.3
2020-03-23,40,12.5
2020-03-24,38,11.4
2020-03-25,37,10.5
2020-03-26,33,9.9
2020-03-27,44,11.4
2020-03-28,51,12.1
2020-03-29,38,12.1
2020-03-30,31,13.0
2020-03-31,31,13.3
2020-04-01,33,12.7
2020-04-02,31,11.8
2020-04-03,31,11.8
2020-04-04,31,11.4
2020-04-05,36,11.8
2020-04-06,31,9.6
2020-04-07,36,9.3
2020-04-08,34,12.8
2020-04-09,34,13.3
2020-04-10,34,14.5
2020-04-11,36,12.8
2020-04-12,57,12.7
2020-04-13,58,13.1
2020-04-14,49,14.7
2020-04-15,55,16.1
2020-04-16,29,13.3
2020-04-17,39,13.3
2020-04-18,38,14.3
2020-04-19,38,14.3
2020-04-20,35,14.1
2020-04-21,36,13.6
2020-04-22,31,14.3
2020-04-23,29,15.3
2020-04-24,52,15.9
2020-04-25,36,17.2
2020-04-26,39,15.1
2020-04-27,34,15.3
2020-04-28,24,16.0
2020-04-29,23,14.0
2020-04-30,36,14.1
2020-05-01,35,14.3
2020-05-02,30,15.4
2020-05-03,36,14.6
2020-05-04,40,13.6
2020-05-05,35,14.7
2020-05-06,52,15.5
2020-05-07,62,17.0
2020-05-08,58,16.4
2020-05-09,47,13.7
2020-05-10,42,14.3
2020-05-11,33,15.4
2020-05-12,39,15.4
2020-05-13,29,14.7
2020-05-14,29,15.7
2020-05-15,34,16.1
2020-05-16,32,16.1
2020-05-17,36,18.4
2020-05-18,36,15.9
2020-05-19,33,15.2
2020-05-20,38,14.8
2020-05-21,48,15.0
2020-05-22,46,14.7
2020-05-23,54,15.2
2020-05-24,57,15.4
2020-05-25,57,18.7
2020-05-26,57,20.2
2020-05-27,54,21.4
2020-05-28,30,15.1
2020-05-29,29,15.8
2020-05-30,30,18.2
2020-05-31,28,16.5
2020-06-01,47,16.5
2020-06-02,58,18.5
2020-06-03,62,21.1
2020-06-04,68,18.8
2020-06-05,50,15.6
2020-06-06,31,15.0
2020-06-07,30,14.9
2020-06-08,33,15.8
2020-06-09,43,17.1
2020-06-10,26,17.7
2020-06-11,26,17.4
2020-06-12,29,16.5
2020-06-13,26,15.9
2020-06-14,23,17.1
2020-06-15,29,16.3
2020-06-16,44,15.9
